ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,length,sentiment,positive_count,negative_count
443,dễ_dàng thoải_mái thư_giãn,29/04/2023,17:06,5,308500015,48,positive,1,0
1030,dãng thoải_mái thư_giãn,30/04/2023,15:04,5,308500015,45,positive,1,0
689,thích hasaki,30/04/2023,18:34,5,422216594,41,positive,1,0
2519,khả_năng sạch tốt lớp mắt môi_chóng loại_bỏ bông_tẩy toàn_bộ bụi bẩn dầu_thừa lớp cực_kỳ tiết_kiệm kích_ứng sạch mà_còn dịu giúp ngứa_ngáy,17/07/2022,13:48,5,204100075,378,positive,1,1
402,sữa rửa tốt sạch mụn mịn,15/04/2023,23:04,5,422208977,44,positive,1,0
2517,serum chân_ái tuyp thử nhờn khô_hở tí nổi mụn,25/12/2022,17:11,5,204100019,221,positive,0,0
1750,sài bha obagi đổi thử_sài plc hasaki kèm quà tặng quà trừ,9/7/2022,4:34,5,100220035,177,positive,0,0
1817,ứng_không_hợp,5/2/2024,3:50,4,422216354,81,positive,0,1
3556,tư_vấn xe_lửa đẹp á_hỏi dán mụn trả_lời tè không_như,12/9/2023,22:33,5,100250032,156,positive,0,1
2375,thơm_dịu mát thư_giãn,29/04/2023,16:52,5,422205163,45,positive,1,0
2027,khum vụ nâng tông trắng chỉnh tông chống nắng làm_lót phê_hợp đồ học tự_nhiên dày,24/10/2022,18:02,5,249500019,232,positive,0,0
2928,sánh bnbg ẩm_không_tốt bnbg tốt tầm_giá ẩm thoải_mái treat mặt_nạ,27/03/2024,22:14,5,422209718,228,positive,3,1
3059,mỏng thấm toner nhũn liền tưa đáp_ứng cầu tốt,19/12/2020,7:52,2,413400001,152,negative,1,0
1118,tốt_tẩy sạch thích nước_tẩy loreal inisfre hóa học không_bị_châm chích trôi chùi sạch lợi rửa,22/06/2021,9:30,5,422204884,278,positive,3,0
2273,hơi bết trắng,17/12/2022,11:20,4,422208183,20,positive,0,0
736,tốt,5/12/2022,15:52,5,100230056,12,positive,1,0
731,nấy_xài hơi,4/3/2023,19:08,5,100230056,110,positive,0,0
4234,rít đắp xomg rôid dưỡng đó_nhiên mặt_nạ tốt_đắp không_bị_kích_ứng,17/07/2023,23:05,4,422205637,114,positive,2,1
3417,tự_nhiên hạt nhẹ không_rát không_kích_ứng mỏng thử tuýp bé tí_í giùm mỏi mắt,30/06/2022,22:32,5,351700026,170,positive,0,0
1268,sạch không_bị khô sạch,18/09/2024,12:03,5,204900056,65,positive,1,0
1360,trời làn hiệu_quả trông,3/7/2024,8:06,5,422208328,98,positive,1,0
2255,quân_điểm tích rẻ_hợp học_viên đơn_giản sạch thơm nhạy_cảm hương_liệu cân_nhắc sữa rửa bọt mịn,12/10/2021,21:48,5,357100011,289,positive,2,0
2647,viền_sắc rát_mặt xước,15/02/2022,14:41,2,422203300,85,negative,0,0
3508,chuẩn đắp thích mướt mịn hẳn,1/10/2021,4:50,5,386000044,57,positive,1,0
2484,chống nắng ưng tệp tán không_bị trôi đổ mồ_hôi,10/3/2022,16:20,5,422204388,127,positive,2,1
4003,không_bị khô sạch hẳn cũ,31/05/2022,13:52,5,422205673,109,positive,1,0
3626,nhạy_cảm hỗn_hợp thiên_khô êm không_kích_ứng nâng một_chút tự_nhiên mỏng nhẹ mắt,30/10/2024,17:25,5,343100024,128,positive,0,0
3176,hài_lòng dưỡng tốt,10/7/2020,22:49,5,345800001,25,positive,1,0
681,hương dễ_chịu mát giá_thành,30/04/2023,15:02,5,204100019,57,positive,0,0
319,tách á_loại thời_tiết lạnh ổn mụn típ quây dưỡng ổn,7/7/2024,23:26,4,422204167,156,positive,2,0
132,tốt đường viền chắn chắn không_xơ tưa mềm,25/05/2023,11:14,5,422212331,72,positive,1,0
2723,sữa thắm hơi rửa,9/6/2023,13:34,3,248700035,112,negative,0,0
575,thử cực_cực cực_kì hài_lòng chống nắng tốt nâng tông không_gây khó_chịu làn khô hơi nhạy_cảm mụn tốt,29/05/2024,9:02,5,253900006,181,positive,2,1
2887,liên_tục vòng quân_sát kĩ cải_thiện rõ_rệt chân nám mờ dần hẳn texture_lỏng nhẹ thấm cực_kì nhẹ cực_kì thích packaging_thủy nặng_thông đầy_đủ cộng trừ hị_hị yêu thích_dưỡng trắng thâm_nám nhẹ thường_xuyên hẳn,25/01/2021,13:49,5,422202580,498,positive,3,0
677,thích hasaki,3/5/2023,18:31,5,200400004,47,positive,1,0
2344,dễ_dàng thoải_mái thư_giãn,1/5/2023,20:04,5,308500004,48,positive,1,0
2893,bì đẹp thấm tông trắng lọ tông hẳn kèm ẩm tốt,1/2/2021,13:41,5,422202580,141,positive,1,0
182,tốt quà tặng kèm chưng,28/05/2022,14:22,4,422204259,64,positive,2,0
3810,lọ_dưỡng ẩm hủ_thấm ghê,14/05/2024,8:44,5,422209048,62,positive,0,0
1637,khô_nhiên vichy_dưỡng ẫm_serum bình_thường dễ_tán laroch cũ nâng tông tầm nửa_tông khô bôi hơi ẩm_không_bị khô căng,24/07/2024,11:32,5,100160022,217,positive,1,0
706,thích hasaki,28/04/2023,18:32,5,100230064,47,positive,1,0
414,bộ_tế nhấp chuột hasaki gửi khảo,30/03/2023,13:04,5,422208976,153,positive,0,0
441,truóc ổn cồn nồng_nặc,12/11/2022,10:11,4,249500027,55,positive,1,0
1469,hợp mắc,5/1/2022,1:03,4,204900056,25,positive,0,0
380,nổi mụn cerave foaming_năng mục không_chăm bác_sĩ khuyên,22/04/2024,15:21,5,422208976,486,positive,0,0
2019,chống nắng bình_dân tán nâng toner nhẹ tự_nhiên,20/11/2022,17:14,5,249500019,109,positive,0,0
777,bàn_thích dịch_vụ hasaki dịch tỉnh,20/09/2021,16:36,5,100230057,107,positive,1,0
787,thích dịu nhẹ hợp mỏng nhẹ dày lì nhớ_tẩy,22/06/2021,8:29,5,100230057,130,positive,1,0
2528,mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm lâu_thấm cực_kì tối bôi lớp mỏng thôi_tóm_lại mụn,15/07/2021,8:34,3,343700002,244,negative,0,0
